1,온택트 2021 강남페스티벌,코엑스일대,2021-10-01,2021-10-10,강남구,강남구,,02-3423-5534,https://www.gangnam.go.kr/gnfestival/,,서울특별시 강남구 영동대로 513,,2021-10-14
2,2021 내 집 앞 세계영화제,양재천 영동3교/ 영동5교 공연장,2021-06-18,2021-10-03,강남구,강남구,,02-3423-5533,https://www.gangnamfilm.com,,서울특별시 강남구 도곡동 영동3교 개포동 영동5교,,2021-10-14
3,단기4353년 개천절 대제전,사직동 단군성전,2021-10-03,2021-10-03,(사)현정회,(사)현정회,문화체육관광부/ 서울특별시/ 종로구,02-736-6375,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,2021-10-13
4,단기4353년 어천절 대제전,사직동 단군성전,2021-04-26,2021-04-26,(사)현정회,(사)현정회,문화체육관광부/ 서울특별시/ 종로구,02-736-6375,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,2021-10-13
5,D.FESTA 대학로 거리공연축제,대학로 마로니에공원,2021-05-28,2021-05-30,(사)한국소극장협회,(사)한국소극장협회,한국문화예술위원회/ 서울특별시/ 종로구/ 서울연극협회,02-3674-0471,www.smalltheater.or.kr,,서울특별시 종로구 동숭4길14/ 2층,서울특별시 종로구 동숭동 12-8,2021-10-13
6,2021 종로한복축제,종묘광장 등 종로구 일대,2021-10-09,2021-10-10,(재)종로문화재단,종로구,서울특별시/ 문화체육관광부/ 한국관광공사,02-2148-1803,https://jongnohanbok.kr/site/main/home,,서울특별시 종로구 새문안로3길 3/ 6층,서울특별시 종로구 신문로1가 58-15,2021-10-13
7,서리풀페스티벌,서초구 전역,2021-09-11,2021-09-26,서초문화재단,서초구,,,,코로나로 연기,서초구,,2021-10-21
8,반포서래 한불음악축제,반포동인근,2021-09-11,2021-09-26,반포서래 한불음악축제 추진위원회(반포본·1·2·3·4동 주민자치위원회),반포서래 한불음악축제 추진위원회(반포본·1·2·3·4동 주민자치위원회),,,,코로나로 연기,서초구,,2021-10-21
9,서초골 축제,예술의전당,2021-09-11,2021-09-26,서초1·2·3·4동 주민자치위원회/서초골축제추진위원회,서초1·2·3·4동 주민자치위원회/서초골축제추진위원회,,,,코로나로 연기,서초구,,2021-10-21
10,잠원나루축제,잠원체육공원,2021-09-11,2021-09-26,잠원동 주민자치위원회,잠원동 주민자치위원회,,,,코로나로 연기,서초구,,2021-10-21
11,말죽거리축제,양재시장말죽거리 일대,2021-09-11,2021-09-26,말죽거리소상공인연합회,말죽거리소상공인연합회,,,,코로나로 연기,서초구,,2021-10-21
12,악기거리축제,서초동 악기거리,2021-09-11,2021-09-26,서울악기거리축제추진위원회,서울악기거리축제추진위원회,,,,코로나로 연기,서초구,,2021-10-21
13,방배비보이페스티벌,방배뒷벌공원,2021-09-11,2021-09-26,방배권역 비보이 축제추진위원회,방배권역 비보이 축제추진위원회,,,,코로나로 연기,서초구,,2021-10-21
14,코로나로 인해 전체 일정 취소,코로나로 인해 전체 일정 취소,2022-01-01,2022-01-01,없음,없음,,,,,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,2021-10-19
15,이태원지구촌축제,이태원 관광특구 일원,2020-12-31,2020-12-31,(사)이태원관광특구연합회,(사)이태원관광특구연합회,,,,,서울특별시 용산구,,2021-09-15
16,불광천 축제,불광천,2021-10-07,2021-10-09,서울특별시 은평구,서울특별시 은평구,,02-351-6517,http://www.ep.go.kr,,서울특별시 은평구 은평로 195,,2021-11-04
17,봉황각 3.1독립운동 재현행사,서울특별시 강북구 우이동 봉황각 일원,2020-03-01,2020-03-01,서울특별시 강북구청,서울특별시 강북구청,천도교 중앙총부,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,2021-10-12
18,4.19혁명 국민문화제 2020,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2020-09-26,2020-09-27,4.19혁명 국민문화제위원회,4.19 3개단체 및 서울특별시 강북구청,국가보훈처 서울특별시  서울특별시 교육청  KBS,02-901-6206,www.festival419.org,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,2021-10-12
19,종교연합바자회,서울특별시 강북구 한신대신학대학원,2019-10-12,2019-10-12,서울특별시 강북구 관내 3종교연합,서울특별시 강북구 관내 3종교연합,강북구  티브로드  한신대학교 신학대학원,02-901-6208,www.gangbuk.go.kr,,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 498-16,2021-10-12
20,서울장미축제,서울장미공원,2021-05-13,2021-05-31,중랑문화재단,중랑문화재단,중랑구/ 서울특별시,02-3407-6531,https://www.jungnang.go.kr/seoulRose/main.do?menuNo=201121+,,서울특별시 중랑구 중랑천로 332,서울특별시 중랑구 묵동 378,2021-10-13
21,용마폭포 문화예술축제,용마폭포공원,2021-10-01,2021-10-31,중랑구,중랑문화재단,중랑구/ 서울특별시,02-3407-6532,,,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산 1-4,2021-10-13
22,2020 동작복지나눔축제,관내 대학교 등(미정),2020-09-05,2020-09-05,동작구지역사회보장협의체+축제추진위원회,동작구,,02-820-9542,,없음,서울특별시 동작구 상도로 369,서울특별시 동작구 상도동 511,2021-10-05
23,동작구 도서관 축제,보라매공원,2020-05-30,2020-05-30,동작구 교육정책과,동작구도서관협의회,,02-820-1294,http://lib.dongjak.go.kr,,서울특별시 동작구 노량진로 74,서울특별시 동작구 대방동 49-6,2021-10-05
24,동작가족한마음축제,보라매공원,2019-10-19,2019-10-19,동작가족한마음축제 추진위원회,동작구 체육회,,02-820-1321,,없음,서울특별시 동작구 여의대방로20길 33,서울특별시 동작구 신대방동 395,2021-10-05
25,제7회 도심 속 바다축제,노량진수산시장 일대,2019-10-12,2019-10-13,동작구축제추진위원회,동작구축제추진위원회,서울시,02-823-9330,,없음,서울특별시 동작구 노들로 674,서울특별시 동작구 노량진동 13-6,2021-10-05
26,구로G페스티벌,서울특별시 구로구 안양천,2020-09-01,2020-09-27,서울특별시 구로구,서울특별시 구로구,,02-860-2060,www.gfestival.co.kr,,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,2021-09-30
27,금천하모니축제 2021,금천구청 광장 일대,2021-11-03,2021-11-07,금천문화재단,서울특별시 금천구청+금천문화재단,서울특별시,02-2627-1442,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,2021-09-24
28,2021. 노원달빛산책,당현3교~ 수학문화관,2021-10-08,2021-10-24,노원문화재단,노원문화재단,,,,,서울특별시 노원구 상계동 683-1,,2021-09-13
29,강감찬축제,온라인 개최,2020-11-06,2020-11-08,관악구,관악구,,02-879-5603,http://www.gwanak.go.kr/html/gang/sub/sub.html,,서울특별시 관악구 관악로 145/ 교육사업과(관악구청),서울특별시 관악구 봉천동 1570-1,2021-09-10
30,응봉산 개나리축제,서울특별시 성동구 응봉동 응봉산,2021-04-01,2021-04-03,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,www.sd.go.kr,,서울특별시 성동구 응봉동 응봉산,서울특별시 성동구 응봉동 응봉산,2021-09-08
31,정월대보름 행사,안양천변 축구장(신정교아래),2019-02-16,2019-02-16,서울특별시 양천문화원,서울특별시 양천구청,,02-2651-5300,http://www.yangcheon.go.kr,,서울특별시 양천구,서울특별시 양천구 신정동 1319-2,2021-08-23
32,방아다리벚꽃축제,신월5동,2019-04-06,2019-04-06,벚꽃축제추진위,신월5동,,02-2620-4130,http://www.yangcheon.go.kr,,서울특별시 양천구,서울특별시 양천구 신정동 1319-3,2021-08-23
33,2019해우리문화축제,양천공원,2019-09-28,2019-09-28,코피플랜,서울특별시 양천구청,,02-2620-3404,http://www.yangcheon.go.kr,,서울특별시 양천구,서울특별시 양천구 신정동 1319-4,2021-08-23
34,서대문독립민주축제,서대문형무소역사관/ 신촌문화발전소/ 라이카시네마,2021-08-14,2021-08-15,서울특별시 서대문독립민주축제추진위원회,서울특별시 서대문구,서울특별시,02-330-1410,https://sidfest.modoo.at/,,서울특별시 서대문구 통일로 251,서울특별시 서대문구 현저동 101,2021-08-12
35,영등포구와 함께하는 제12회 서울국제초단편영화제,영등포구 일대(영등포아트홀 등),2020-09-15,2020-09-20,(사)서울국제초단편영상제,영등포구,서울특별시/ 영화진흥위원회,02-2670-3128,https://www.sesiff.org/,,서울특별시 영등포구 당산로 123,서울특별시 영등포구 당산동3가 385-1,2021-04-21
36,제16회 영등포 여의도 봄꽃축제,여의서로 일대(국회의사당 뒤편),2021-04-05,2021-04-30,영등포문화재단,영등포구,서울특별시/ 우리은행,02-2670-3128,blossom.or.kr www.ydpcf.or.kr,,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,2021-04-21
37,석촌호수벚꽃축제,석촌호수 일대,2021-04-02,2021-04-11,서울특별시 송파구,서울특별시 송파구,,02-2147-2800,https://www.songpa.go.kr/culture/detailInfo.do?key=3794&resrceCd=CT0155-1000031&,,서울특별시 송파구 석촌호수로 197,서울특별시 송파구 잠실동 47,2021-02-17
38,한성백제문화제,올림픽공원 일대,2021-09-29,2021-10-03,한성백제문화제추진위원회,서울특별시 송파구,,02-2147-2800,https://www.songpa.go.kr/hanseong/index.do?,,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,2021-02-17
39,강동선사문화축제,서울 암사동 유적,2021-10-09,2021-10-10,강동구청,강동구청,,02-3425-5246,http://culture.gangdong.go.kr,,서울특별시 강동구 올림픽로 875 (암사동),서울특별시 강동구 암사동 139-2,2021-02-24
40,2021 제22회 아차산 해맞이 축제,아차산 해맞이광장,2021-01-01,2021-01-01,서울특별시 광진구청,서울특별시 광진구청,,02-450-7584,,,서울특별시 광진구,경기도 구리시 아천동 산 55-1,2020-07-06
41,제13회 마포나루 새우젓축제,서울월드컵공원 평화의 광장 일원,2020-10-16,2020-10-18,마포문화원,서울특별시 마포구,,02-3153-8353,http://www.mapo.go.kr/site/maponarusf/home,,서울특별시 마포구 월드컵로 243-60(성산동),서울특별시 마포구 성산동 390-1,2020-05-26
42,정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,서울특별시 도봉구청,서울특별시 도봉구청/ 도봉문화원,,02-905-4026,,,서울특별시 도봉구 원당샘공원,,2018-05-01
43,정월대보름 큰잔치,도봉구청 광장/ 중랑천변,2015-03-05,2015-03-05,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,2018-05-01
44,도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,서울특별시 도봉구청,서울특별시 도봉구청/(사)도봉서원,,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,2018-05-01
45,도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,2018-05-01
46,도봉구민 건강축제,도봉구청/ 중랑천변,2015-10-16,2015-10-17,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,2018-05-01
47,도봉 과학축전,도봉구청 로비/ 아뜨리움/ 대강당/ 광장 등,2015-10-23,2015-10-28,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,2018-05-01
48,도봉구 등축제,우이천,2015-09-11,2015-09-30,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,2018-05-01
49,정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,서울특별시 도봉구청,서울특별시 도봉구청/ 도봉문화원,,02-905-4026,,,서울특별시 도봉구 원당샘공원,,2018-05-01
50,정월대보름 큰잔치,도봉구청 광장/ 중랑천변,2015-03-05,2015-03-05,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,2018-05-01
51,도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,서울특별시 도봉구청,서울특별시 도봉구청/(사)도봉서원,,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,2018-05-01
52,도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,2018-05-01
53,도봉구민 건강축제,도봉구청/ 중랑천변,2015-10-16,2015-10-17,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,2018-05-01
54,도봉 과학축전,도봉구청 로비/ 아뜨리움/ 대강당/ 광장 등,2015-10-23,2015-10-28,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,2018-05-01
55,도봉구 등축제,우이천,2015-09-11,2015-09-30,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,2018-05-01
